"corrected","Monkey","Monkey_number","Freezer Name","Location of Sample","Details:","Sample Quantity:","Quantity units:",,,,,,,,
"Gonads (testes, ovaries)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (with skin)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (with skin)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (with skin)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (with skin)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (with skin)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (with skin)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (with skin)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (without skin)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (without skin)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (without skin)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (without skin)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (without skin)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (without skin)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Hair (without skin)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Heart","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Heart","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Heart","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Heart","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Heart","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Heart","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Heart","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Illium","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Illium","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Illium","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Illium","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Illium","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Illium","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Illium","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Jejunum","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Jejunum","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Jejunum","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Jejunum","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Jejunum","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Jejunum","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Jejunum","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Kidney (lt, rt)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
